centre-id,centre-ID-OSV,fieldwork-ID,year,date-of-inspection,date,name-of-designated-centre,address-of-centre,name-of-provider,type-of-inspection,number-of-residents-present,report-id,about,respite-category,num-compliant,num-notcompliant,num-substantiallycompliant,Regulation_03_Statement_of_purpose,Regulation_04_Written_policies_and_procedures,Regulation_05_Individualised_assessment_and_personal_plan,Regulation_06_Healthcare,Regulation_07_Positive_behaviour_support,Regulation_08_Protection,Regulation_09_Residents'_rights,Regulation_10_Communication,Regulation_11_Visits,Regulation_12_Personal_possessions,Regulation_13_General_welfare_and_development,Regulation_14_Person_in_charge,Regulation_15_Staffing,Regulation_16_Training_and_staff_development,Regulation_17_Premises,Regulation_18_Food_and_nutrition,Regulation_19_Directory_of_residents,Regulation_20_Information_for_residents,Regulation_21_Records,Regulation_22_Insurance,Regulation_23_Governance_and_management,Regulation_24_Admissions_and_contract_for_the_provision_of_services,"Regulation_25_Temporary_absence,_transition_and_discharge_of_residents",Regulation_26_Risk_management_procedures,Regulation_27_Protections_against_infection,Regulation_28_Fire_precautions,Regulation_29_Medicines_and_pharmaceutical_services,Regulation_30_Volunteers,Regulation_31_Notification_of_incidents,Regulation_32_Notifications_of_periods_when_person_in_charge_is_absent,Regulation_33_Notifications_of_procedures_and_arrangements_for_periods_when_person_in_charge_is_absent,Regulation_34_Complaints_procedure,Registration_Reg5,Registration_Reg8,Registration_Reg7
8350,OSV-0008350,MON-0038253,2023,27 March 2023,2023-03-27,Oaklands House,Meath,Embrace Community Services Ltd,Unannounced,3,8350-20230327,"Oaklands house provides a residential service for male and female children under the age of 18 years with the exception of a young person completing their final year of secondary education. Oaklands house is located in the countryside and in close driving distance to several local towns and villages. The centre can cater for up to four residents each with their own bedroom, one with an en-suite facility and the rest are shared bathroom facilities. In addition, the centre has two living room areas and has a large garden. Residents are supported by a team of social care leaders, social care workers and direct support workers who are led by a person in charge.",,10,2,3,,,Compliant,Compliant,Compliant,Compliant,Compliant,,,,,Compliant,Compliant,Substantially compliant,Compliant,Substantially compliant,,,Not compliant,,Substantially compliant,Compliant,,,Not compliant,Compliant,,,,,,,,,
1725,OSV-0001725,MON-0030860,2020,16 November 2020,2020-11-16,Ard na Veigh,Sligo,Health Service Executive,Short Notice Announced,5,1725-20201116,"Ard na Veigh services is a residential service run by the Health Service Executive. It can provide full-time residential care to male and female adults, who are over the age of 18 years with a intellectual disability. The designated centre is located in a town in Co. Sligo with local amenities being easily accessible on foot or the use of taxis and public transport. The designated centre is a semi-detached two-storey building comprising of a kitchen dining room, sitting room, resident bedrooms and shared bathroom facilities. Residents also have access to rear and front garden areas. Residents live independently with staffing supports provided at set times during the day. An on-call system and safety measures are in place to enhance the safety of residents and promote their independence.",,7,0,6,Compliant,,Compliant,Substantially compliant,,Compliant,Compliant,,,,,Compliant,Substantially compliant,,Compliant,,,,,,Substantially compliant,,,Substantially compliant,Compliant,Substantially compliant,Substantially compliant,,,,,,Compliant,,
7717,OSV-0007717,MON-0028365,2022,28 June 2022,2022-06-28,Deerpark Lodge,Cavan,Talbot Care Unlimited Company,Announced,3,7717-20220628,"Deerpark Lodge is located in a small housing estate in County Cavan. The centre provides a residential service for up to five adults, both male and female. The house is a three storey detached property consisting of a large kitchen/dining area, a separate utility room, three communal areas, five bedrooms and an office. The garden to the back of the property is well maintained and provides outside furniture for residents to use. The objective of the service is to promote independence and to maximise the quality of life of residents living there. Residents are supported by a team of direct support workers, team leaders and the person in charge. Allied health supports including community nurses, behaviour specialists, occupational therapists, speech and language therapists and a dietician form part of the services provided to residents where required. Residents are supported to engage in activities in line with their preferences and can access some day services if they choose to. Transport is provided should residents wish to avail of activities located far away from the centre.",,17,0,0,Compliant,,,,,Compliant,Compliant,,,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,,,,Compliant,Compliant,,Compliant,Compliant,,Compliant,,Compliant,,,,Compliant,,
5549,OSV-0005549,MON-0035274,2022,05 January 2022,2022-01-05,Glenullen,Dublin 24,GALRO Unlimited Company,Unannounced,2,5549-20220105,"Glenullen is a purposely renovated centre located in a village in Co. Dublin. The centre consists of the following, an activities/sitting room, two bedrooms, kitchen come dining room, laundry area, and office. There is an enclosed exterior yard with soft surfacing to provide outdoor play. The centre is within walking distance to a range of local amenities. The aim of Glenullen is to provide high support residential care and supervision for two children, either male or female, in a safe nurturing homely environment that meets the needs of children with intellectual disability and/or autism and/or basic medical needs who may present with behaviours of concern relating to their diagnosis. Glenullen will provide high support residential care for children who are aged between 9 and 17 years of age upon referral. Staffing levels reflected the needs of the children availing of residential care with social care workers providing 24 hour care and support.",,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Not compliant,,,,,,,,,,
3769,OSV-0003769,MON-0027549,2022,23 February 2022,2022-02-23,St Paul's Santry,Dublin 9,St. Paul's Child and Family Care Centre Designated Activity Company,Announced,2,3769-20220223,"St. Paul's Santry is a designated centre located in North County Dublin. The designated centre provides a respite service for up to four children and adolescents between the ages of nine and 18 years. The composition of children's groups attending together for respite was influenced by age, peer suitability, dependency levels and gender mix. Each child has their own bedroom during their respite stay, with adequate storage facilities and there is adequate communal space in the centre which included a sensory room. There is garden to the rear of the centre with a seating area, swing, and other play equipment for children to play outside. The provider is a limited company with its own board which is closely associated with a large teaching hospital. The chief executive officer of the hospital chairs the board of the service, which in turn reports into the board of the hospital. The hospital provides support services to the centre, such as human resources, risk management and payroll function. The centre is staffed by a person in charge, social child care workers and care assistants.",Respite,15,0,0,Compliant,,Compliant,,Compliant,Compliant,,Compliant,,,,,Compliant,Compliant,Compliant,,,,,,Compliant,Compliant,,Compliant,Compliant,Compliant,,,Compliant,,,Compliant,,,
3088,OSV-0003088,MON-0032730,2021,13 July 2021,2021-07-13,Rushbrook - Community Residential Service,Dublin 15,Daughters of Charity Disability Support Services Company Limited by Guarantee,Short Notice Announced,2,3088-20210713,"Rushbrook is a community residential home for up to three adult with an intellectual disability with low support needs. The aim of the centre is to support the residents to be independent and to be full participants in their local community in accordance with their retirement plans. The house is located in a village in North West Dublin and is close to a variety of local amenities such as hairdressers, beauticians, pharmacy, shops, pubs, churches and parks. Residents have access to a kitchen where they can prepare meals a dining room and a sitting room. There is one double and three single bedrooms in the house. All residents have their own bedrooms and other single room is used by staff as an office and sleepover room. Residents also have access to a secure garden space. The staff team comprises of a person in charge and social care workers.",,7,0,2,,Substantially compliant,,,,Compliant,Compliant,,,,,,Compliant,Compliant,Compliant,,,,,,Compliant,,,,Compliant,Substantially compliant,,,,,,,,,
2502,OSV-0002502,MON-0040749,2023,16 October 2023,2023-10-16,James Connolly Memorial Residential Unit,Donegal,Health Service Executive,Unannounced,9,2502-20231016,"James Connolly Memorial Residential Unit is a congregated setting providing care and support to 9 adults with disabilities (both male and female) in Co. Donegal. The premises consist of a large two storey building and is institutional in design. Communal facilities include two large sleeping dormitories (one female and one male). There are also single occupancy bedrooms. All bedroom facilities are on the ground floor of the centre. A large bright sitting/TV room, multiple bathroom/restroom facilities, a relaxation/sensory area, dining rooms and a small kitchenette which is available for residents to use are also located on the ground floor. There is also a larger industrial-style kitchen on the ground floor (not accessible to the residents) that provides meals at specific times throughout the day to residents. The second floor has facilities for management and staff of the centre including offices, a kitchen, a staff dining area and staff restroom. The centre is located on a site from which a range of other Health Service Executive (HSE) services are accommodated. The building is surrounded by gardens and grounds that are well-maintained and private parking facilities are available. The centre is staffed on a 24/7 basis with a full time person in charge (who is a clinical nurse manager II), a team of staff nurses and health care assistants. Access to GP services and other allied healthcare professionals form part of the service provided to the residents. Transport is also provided for residents for residents use.",,7,1,3,Compliant,Compliant,,,Compliant,,Compliant,,,,,,Compliant,Substantially compliant,Not compliant,Compliant,,,,,Substantially compliant,,,Substantially compliant,,,Compliant,,,,,,,,
5299,OSV-0005299,MON-0035971,2023,14 April 2023,2023-04-14,Sunny Gardens,Wicklow,Sunbeam House Services Company Limited by Guarantee,Unannounced,3,5299-20230414,"Sunny Gardens is a designated centre operated by Sunbeam House Services. It comprises of a residential home close to a busy town in County Wicklow. It provides full-time community residential support for up to three people with disabilities. The home is a two-storey house which consists of a kitchen/dining room, sitting room, a shared bathroom, three individual resident bedrooms, gardens, and a staff sleepover room. The centre is staffed by a person in charge, deputy manager, social care workers and day service staff.",,11,0,2,Compliant,,Compliant,Compliant,,Compliant,,,,,Compliant,,Compliant,Compliant,Substantially compliant,Compliant,,Compliant,,,Substantially compliant,Compliant,,,,Compliant,,,,,,,,,
1507,OSV-0001507,MON-0032430,2021,19 May 2021,2021-05-19,St Dominic's Services,Galway,Ability West,Short Notice Announced,7,1507-20210519,"The designated centre provides a residential and respite service to a maximum of seven adults with an intellectual disability, who require mild to high support needs. Residents of this service may also present with behaviours of concern and attend mental health clinics. There are six full-time residents and a respite service is also offered to six residents on a shared basis. Each resident has their own bedroom and there is one identified respite room which is also equipped with a hoist. The centre can support residents with reduced mobility and wheelchair accessible ramps and transport is available. The centre is located within walking distance of a medium sized town and some residents access local services independently. The residents of this service are supported by a combination of social care workers and care assistants daily and up to two staff members can support residents during night time hours.",Residential and Respite,8,0,3,,,Substantially compliant,Substantially compliant,Compliant,Compliant,Compliant,,,,,,Compliant,Compliant,,,,,,,Substantially compliant,,,Compliant,Compliant,,,,Compliant,,,,,,
2357,OSV-0002357,MON-0029163,2021,26 May 2021,2021-05-26,Rosetree Cottage,Dublin 5,St Michael's House,Short Notice Announced,5,2357-20210526,"Rosetree Cottage is a designated centre operated by St. Michael's House. The centre comprises a six bedroom, detached bungalow located in as suburban area of North Dublin. The centre also provides a small garden to the rear of the centre for residents to use as they wish. There is also adequate communal space within the centre for residents use. Each resident has there own bedroom which has been personalised to their own tastes, interests and personal preferences. Rosetree Cottage is staffed by a Clinical nurse Manager 2 who is the  Person In Charge, a Clinical Nurse Manager 1 is also assigned to the centre as a deputy manager to the person in charge and as part of the overall governance arrangement for the centre. The staff team consists of nurses, social care workers, care staff and a domestic worker. The person in charge is supported and supervised by a Service Manager, identified as a person participating in management for the centre and part of the overall provider's governance oversight of the centre.",,2,6,1,,,Substantially compliant,,Not compliant,Compliant,,,,,,,Not compliant,Not compliant,,,,,,,Not compliant,,,,Compliant,Not compliant,,,Not compliant,,,,,,
